publish_date,id,title,sentiments,effects,sound,behaviour,tags,people,location
2020-06-28,ykUm5pPyyNg,Fang besser an Dich für Autos zu interessieren . .,0,0,0,0,0,0,0
2020-06-28,CV8F5K8m6Ug,"Praktische Künste, die Welt ist Technik",0,0,0,0,0,0,0
2020-06-26,sOU1gESWZCY,LOST PARADISE 67ff. - SPIRIUELLES KONZEPT FEHLANZEIGE,0,0,0,0,0,0,0
2020-06-26,IMrMxo-yiMY,≤ Lüge ≥ Unreine Information = Lüge = Betrug {O} SELBSTTÄUSCHUNG,0,0,0,0,0,0,0
2020-06-23,tR27oCQkCKg,COVID19 Die Welt steht still - Thomas spricht über das was ihn bewegt,0,0,0,0,0,0,0
2020-06-19,234xg0TO_Lg,Phänomene der Endzeit,0,0,0,0,0,0,0
2020-06-15,dEcfLtW6W3M,Manipulierte Hilfe weltweit,0,0,0,0,0,0,0
2020-06-14,9x37gG-t96U,Der Skandal des Unbewussten,0,0,0,0,0,0,0
2020-06-10,C-prUClaj58,SURVIVOR reloaded,0,0,0,0,0,0,0
2020-06-10,HFeqFIv73Jc,"Der Workshop des Grauens (TV Unplugged, June 2020)",0,0,0,0,0,0,0
2020-06-03,heW2wghCFdQ,Unplugged,0,0,0,0,0,0,0
2020-05-31,zBn3cizEC0c,Entprogrammierung fehlgeschlagen!,0,0,0,0,0,0,0
2020-05-24,NUAL2VPz16M,Mai Movie,0,0,0,0,0,0,0
2020-05-12,5zRhaV7w4uM,! ? ? ! DIE ERDE IST FREI ! ? ? !,0,0,0,0,0,0,0
2020-05-12,WsNmyj6crVs,i n form iere Dich (nicht),0,0,0,0,0,0,0
2020-05-12,PYtG_dSc_pI,「virus」の意味,0,0,0,0,0,0,0
2020-05-12,CPNtxg0iUJg,WER VERMUTET DENN DAS DIESE WELT SO SCHLECHT IST,0,0,0,0,0,0,0
2020-05-02,mQsIOocLe_Q,DER SONDERZUG NACH COVID,0,0,0,0,0,0,0
2020-04-27,HEK9PmHEmuY,Corona-Krise 2020 : Kein Happy End in Sicht,0,0,0,0,0,0,0
2020-04-26,Al3_ru9wqmo,"Die Pest + EBOLA + Corona = Hurra,hurra, die neue Weltordnung ist da",0,0,0,0,0,0,0
2020-04-12,2ZV9I0vNXEY,Planet der Affen - Am Anfang war das Wort,0,0,0,0,0,0,0
2020-04-12,EkBf_9w9saY,ANGSt,0,0,0,0,0,0,0
2020-04-11,Nin0bXam88w,PHÖNIX - Denkmal der Ewigkeit,0,0,0,0,0,0,0
2020-04-10,tXzHk1zmvto,Kopfkrankheit - WHO ruft internationalen Notstand aus?!?,0,0,0,0,0,0,0
2020-04-07,pUywZJkvFRo,So entstehen Realitäten,0,0,0,0,0,0,0
2020-03-31,RQ4InB-oyno,corona krise,0,0,0,0,0,0,0
2020-03-30,8n9KuIqtuo0,CORONAVIRUS UPDATE AN ALLE MENSCHEN,0,0,0,0,0,0,0
2020-03-27,wbLP9Qd3H9k,Warnung zu COVID-19,0,0,0,0,0,0,0
2020-03-21,7lzKZtZiv4s,über das verlieren und sich selbst kontrollieren,0,0,0,0,0,0,0
