Source,Target,Type,Id,Label,Weight
52,2,Undirected,25745,,163
7,85,Undirected,25746,,176
0,188,Undirected,25747,,169
0,189,Undirected,25748,,173
8,20,Undirected,25749,,189
27,61,Undirected,25751,,207
6,15,Undirected,25752,,164
33,1,Undirected,25755,,204
80,0,Undirected,25756,,194
8,50,Undirected,25758,,187
2,3,Undirected,25759,,200
4,20,Undirected,25760,,168
1,83,Undirected,25761,,200
65,12,Undirected,25763,,188
205,0,Undirected,25764,,198
392,41,Undirected,25765,,133
86,7,Undirected,25766,,197
31,50,Undirected,25769,,147
6,50,Undirected,25771,,184
83,191,Undirected,25773,,129
153,0,Undirected,25776,,166
129,40,Undirected,25777,,174
65,11,Undirected,25780,,177
954,192,Undirected,25781,,102
285,2,Undirected,25782,,134
6,31,Undirected,25784,,203
52,25,Undirected,25785,,179
25,51,Undirected,25787,,196
51,1,Undirected,25789,,174
4,21,Undirected,25791,,192
87,71,Undirected,25794,,155
15,27,Undirected,25795,,150
88,101,Undirected,25797,,142
152,21,Undirected,25798,,126
7,61,Undirected,25799,,198
0,100,Undirected,25801,,196
46,136,Undirected,25802,,122
10,1,Undirected,25803,,183
36,27,Undirected,25804,,200
657,194,Undirected,25808,,100
0,195,Undirected,25810,,154
556,193,Undirected,25811,,100
203,0,Undirected,25812,,197
14,28,Undirected,25814,,181
65,6,Undirected,25818,,195
6,18,Undirected,25821,,194
469,0,Undirected,25822,,149
53,8,Undirected,25823,,186
83,61,Undirected,25824,,135
7,44,Undirected,25826,,166
7,151,Undirected,25827,,152
0,118,Undirected,25828,,176
11,53,Undirected,25830,,182
1708,196,Undirected,25831,,99
2,47,Undirected,25832,,167
27,20,Undirected,25836,,168
163,197,Undirected,25837,,121
12,85,Undirected,25838,,188
85,27,Undirected,25839,,159
36,8,Undirected,25844,,194
58,2,Undirected,25846,,190
239,0,Undirected,25847,,182
485,200,Undirected,25849,,97
16,41,Undirected,25851,,111
7,101,Undirected,25853,,142
2623,135,Undirected,25859,,97
50,12,Undirected,25860,,175
40,21,Undirected,25861,,185
102,0,Undirected,25862,,167
70,175,Undirected,25864,,116
29,11,Undirected,25866,,171
27,29,Undirected,25867,,165
255,2,Undirected,25868,,141
54,7,Undirected,25869,,166
21,50,Undirected,25872,,171
18,24,Undirected,25873,,177
7,47,Undirected,25874,,151
0,161,Undirected,25875,,178
24,14,Undirected,25876,,162
89,0,Undirected,25877,,164
421,0,Undirected,25878,,129
101,204,Undirected,25879,,96
73,0,Undirected,25880,,163
36,155,Undirected,25881,,175
36,7,Undirected,25882,,155
2,22,Undirected,25884,,181
2,38,Undirected,25885,,163
4,36,Undirected,25886,,151
1,155,Undirected,25887,,164
1,80,Undirected,25888,,147
1,140,Undirected,25889,,159
40,6,Undirected,25890,,160
112,115,Undirected,25891,,123
22,4,Undirected,25892,,120
730,69,Undirected,25893,,110
12,33,Undirected,25896,,150
12,20,Undirected,25897,,184
106,1,Undirected,25899,,170
57,101,Undirected,25901,,95
179,1,Undirected,25905,,171
20,63,Undirected,25908,,142
50,111,Undirected,25909,,122
111,12,Undirected,25910,,162
1,160,Undirected,25911,,146
1,44,Undirected,25912,,169
284,0,Undirected,25913,,169
239,11,Undirected,25914,,143
29,152,Undirected,25915,,119
27,50,Undirected,25917,,169
1351,26,Undirected,25918,,94
0,206,Undirected,25922,,123
25,125,Undirected,25924,,166
129,52,Undirected,25925,,116
8,54,Undirected,25930,,171
1,209,Undirected,25933,,151
0,210,Undirected,25936,,155
0,211,Undirected,25937,,178
56,64,Undirected,25939,,177
39,1,Undirected,25941,,93
1,212,Undirected,25942,,110
125,1,Undirected,25944,,183
86,8,Undirected,25945,,170
6,61,Undirected,25948,,177
0,214,Undirected,25951,,160
0,137,Undirected,25952,,166
10,12,Undirected,25955,,141
2,119,Undirected,25956,,139
1,53,Undirected,25958,,178
102,175,Undirected,25959,,117
3,7,Undirected,25960,,119
163,215,Undirected,25961,,91
87,213,Undirected,25962,,156
124,1,Undirected,25963,,152
201,40,Undirected,25964,,108
0,216,Undirected,25965,,139
0,154,Undirected,25966,,180
538,217,Undirected,25967,,91
10,36,Undirected,25968,,130
133,0,Undirected,25969,,179
61,8,Undirected,25970,,174
8,29,Undirected,25971,,157
787,218,Undirected,25972,,91
127,0,Undirected,25975,,145
6,102,Undirected,25977,,143
12,46,Undirected,25978,,173
155,12,Undirected,25979,,178
15,14,Undirected,25980,,147
28,84,Undirected,25983,,157
78,121,Undirected,25986,,114
91,11,Undirected,25987,,151
13,1,Undirected,25988,,175
56,31,Undirected,25989,,165
197,220,Undirected,25990,,90
36,74,Undirected,25991,,167
37,36,Undirected,25992,,117
39,37,Undirected,25994,,90
514,175,Undirected,25995,,90
125,28,Undirected,25996,,154
1432,221,Undirected,25997,,89
12,18,Undirected,25998,,165
15,11,Undirected,25999,,175
90,54,Undirected,26000,,134
42,2,Undirected,26001,,135
1790,1,Undirected,26003,,89
49,2,Undirected,26004,,178
49,1,Undirected,26005,,174
7,78,Undirected,26006,,168
0,174,Undirected,26007,,175
0,223,Undirected,26008,,141
24,4,Undirected,26009,,159
600,58,Undirected,26010,,105
8,52,Undirected,26014,,159
2,160,Undirected,26015,,142
50,11,Undirected,26018,,160
1,164,Undirected,26019,,172
1,225,Undirected,26020,,163
22,8,Undirected,26022,,147
85,6,Undirected,26026,,148
753,1,Undirected,26027,,120
21,18,Undirected,26029,,141
5,105,Undirected,26032,,105
33,21,Undirected,26034,,174
84,8,Undirected,26035,,146
138,0,Undirected,26036,,144
1155,228,Undirected,26037,,88
11,74,Undirected,26039,,170
61,229,Undirected,26040,,145
61,4,Undirected,26041,,163
2,56,Undirected,26043,,161
1,56,Undirected,26044,,164
1,230,Undirected,26045,,119
31,21,Undirected,26046,,150
31,28,Undirected,26047,,144
272,2,Undirected,26048,,123
12,144,Undirected,26049,,152
66,231,Undirected,26050,,110
24,20,Undirected,26054,,174
11,86,Undirected,26055,,150
61,21,Undirected,26056,,171
2,32,Undirected,26060,,155
2,90,Undirected,26061,,166
248,33,Undirected,26062,,87
354,0,Undirected,26064,,137
45,78,Undirected,26066,,102
6,74,Undirected,26068,,163
83,6,Undirected,26071,,146
60,0,Undirected,26073,,163
0,233,Undirected,26074,,147
84,6,Undirected,26075,,155
84,2,Undirected,26076,,139
44,32,Undirected,26078,,134
336,235,Undirected,26080,,86
47,83,Undirected,26081,,139
244,236,Undirected,26085,,85
115,0,Undirected,26086,,158
402,0,Undirected,26087,,144
105,0,Undirected,26088,,160
411,0,Undirected,26089,,131
155,33,Undirected,26090,,112
21,28,Undirected,26092,,159
21,20,Undirected,26093,,168
201,237,Undirected,26094,,85
5,119,Undirected,26095,,130
5,8,Undirected,26096,,138
0,238,Undirected,26097,,165
0,208,Undirected,26100,,149
25,33,Undirected,26101,,153
133,18,Undirected,26104,,126
36,48,Undirected,26106,,131
14,58,Undirected,26107,,141
20,242,Undirected,26109,,106
92,6,Undirected,26110,,145
298,0,Undirected,26113,,153
352,243,Undirected,26114,,84
449,0,Undirected,26116,,135
427,2,Undirected,26117,,110
12,228,Undirected,26118,,143
85,4,Undirected,26120,,165
0,245,Undirected,26123,,159
0,9,Undirected,26124,,150
44,60,Undirected,26128,,146
157,0,Undirected,26129,,126
232,109,Undirected,26130,,109
1,19,Undirected,26132,,133
1,32,Undirected,26133,,166
15,24,Undirected,26138,,129
0,247,Undirected,26140,,163
0,248,Undirected,26141,,145
24,54,Undirected,26143,,156
25,158,Undirected,26144,,128
1151,249,Undirected,26145,,83
101,250,Undirected,26146,,102
774,52,Undirected,26147,,83
8,251,Undirected,26148,,116
8,65,Undirected,26150,,143
2,83,Undirected,26152,,125
2,46,Undirected,26153,,157
111,11,Undirected,26156,,147
1,100,Undirected,26157,,149
113,11,Undirected,26158,,139
70,252,Undirected,26161,,82
244,32,Undirected,26162,,108
29,31,Undirected,26163,,140
86,12,Undirected,26165,,157
137,253,Undirected,26166,,113
53,25,Undirected,26168,,131
21,86,Undirected,26170,,154
201,113,Undirected,26171,,99
0,254,Undirected,26172,,104
0,255,Undirected,26173,,146
0,256,Undirected,26174,,152
0,257,Undirected,26175,,135
0,258,Undirected,26176,,160
188,6,Undirected,26177,,135
25,4,Undirected,26178,,160
44,2,Undirected,26179,,155
276,0,Undirected,26180,,159
50,28,Undirected,26181,,144
50,7,Undirected,26182,,145
1,23,Undirected,26183,,142
1,259,Undirected,26185,,113
271,73,Undirected,26186,,82
113,0,Undirected,26188,,118
164,25,Undirected,26189,,132
125,27,Undirected,26190,,157
125,31,Undirected,26191,,113
125,261,Undirected,26192,,122
255,22,Undirected,26193,,81
127,262,Undirected,26194,,81
174,1,Undirected,26195,,149
66,6,Undirected,26196,,155
0,263,Undirected,26199,,114
24,61,Undirected,26201,,148
333,0,Undirected,26202,,148
11,52,Undirected,26203,,149
36,54,Undirected,26204,,137
2,179,Undirected,26205,,143
2,101,Undirected,26206,,142
1,264,Undirected,26209,,118
3,22,Undirected,26211,,127
125,140,Undirected,26212,,113
86,28,Undirected,26213,,138
6,33,Undirected,26215,,157
74,148,Undirected,26216,,80
90,73,Undirected,26218,,107
7,32,Undirected,26220,,143
0,229,Undirected,26221,,142
0,265,Undirected,26222,,151
0,266,Undirected,26223,,138
0,267,Undirected,26224,,133
311,0,Undirected,26225,,151
607,268,Undirected,26228,,108
40,25,Undirected,26229,,148
286,0,Undirected,26231,,128
175,26,Undirected,26235,,79
7,124,Undirected,26236,,103
91,1,Undirected,26238,,153
101,131,Undirected,26239,,79
14,4,Undirected,26240,,134
4,155,Undirected,26241,,123
50,15,Undirected,26242,,146
296,0,Undirected,26243,,151
27,18,Undirected,26244,,149
6,48,Undirected,26245,,148
74,7,Undirected,26247,,153
85,25,Undirected,26248,,136
72,270,Undirected,26249,,140
21,53,Undirected,26250,,136
21,271,Undirected,26251,,109
52,12,Undirected,26252,,132
5,36,Undirected,26253,,128
18,25,Undirected,26254,,153
0,272,Undirected,26255,,144
471,36,Undirected,26256,,102
25,155,Undirected,26257,,129
11,90,Undirected,26259,,145
11,33,Undirected,26260,,151
11,56,Undirected,26261,,133
51,21,Undirected,26262,,152
10,29,Undirected,26263,,126
133,20,Undirected,26264,,122
2,155,Undirected,26267,,124
2,40,Undirected,26268,,155
1,273,Undirected,26270,,137
348,0,Undirected,26271,,141
274,0,Undirected,26274,,135
85,113,Undirected,26278,,114
175,0,Undirected,26279,,151
0,275,Undirected,26280,,120
0,232,Undirected,26282,,138
291,2,Undirected,26287,,108
11,155,Undirected,26288,,132
395,277,Undirected,26289,,77
51,6,Undirected,26290,,144
20,58,Undirected,26293,,114
20,18,Undirected,26294,,142
50,4,Undirected,26295,,132
1,121,Undirected,26297,,137
1,3,Undirected,26298,,146
102,278,Undirected,26300,,77
58,25,Undirected,26301,,117
29,47,Undirected,26303,,122
54,74,Undirected,26306,,133
6,86,Undirected,26307,,151
23,0,Undirected,26308,,112
90,7,Undirected,26309,,119
83,129,Undirected,26310,,104
26,0,Undirected,26311,,132
7,268,Undirected,26313,,123
0,201,Undirected,26314,,136
0,280,Undirected,26315,,126
176,27,Undirected,26316,,123
24,29,Undirected,26317,,140
107,0,Undirected,26319,,148
574,281,Undirected,26320,,76
61,36,Undirected,26321,,127
141,76,Undirected,26322,,76
14,20,Undirected,26323,,133
180,282,Undirected,26325,,107
27,153,Undirected,26328,,121
27,40,Undirected,26329,,133
31,52,Undirected,26330,,115
214,283,Undirected,26333,,75
54,60,Undirected,26334,,104
250,23,Undirected,26336,,75
68,1,Undirected,26337,,133
5,12,Undirected,26338,,130
7,233,Undirected,26339,,124
24,285,Undirected,26343,,95
78,27,Undirected,26346,,140
64,2,Undirected,26347,,147
336,0,Undirected,26351,,141
432,49,Undirected,26352,,75
73,25,Undirected,26353,,139
2,48,Undirected,26356,,143
47,269,Undirected,26357,,93
4,92,Undirected,26359,,120
1,115,Undirected,26362,,148
1,46,Undirected,26364,,148
22,28,Undirected,26365,,117
27,33,Undirected,26366,,116
148,286,Undirected,26368,,74
12,83,Undirected,26369,,112
12,287,Undirected,26370,,74
53,27,Undirected,26372,,128
183,0,Undirected,26374,,123
0,288,Undirected,26377,,124
0,289,Undirected,26379,,128
89,12,Undirected,26383,,117
56,290,Undirected,26384,,97
10,7,Undirected,26388,,117
428,166,Undirected,26389,,74
432,292,Undirected,26390,,74
8,91,Undirected,26391,,128
8,179,Undirected,26392,,109
20,15,Undirected,26393,,140
111,27,Undirected,26394,,129
1,165,Undirected,26395,,144
1,117,Undirected,26396,,142
1,189,Undirected,26398,,104
58,27,Undirected,26400,,117
29,137,Undirected,26401,,95
148,0,Undirected,26405,,117
2011,154,Undirected,26406,,73
90,294,Undirected,26407,,73
53,6,Undirected,26408,,145
522,73,Undirected,26409,,119
110,1,Undirected,26410,,120
18,11,Undirected,26411,,136
0,295,Undirected,26412,,114
0,293,Undirected,26413,,144
0,297,Undirected,26417,,140
408,112,Undirected,26420,,73
25,10,Undirected,26421,,135
25,20,Undirected,26422,,146
611,127,Undirected,26424,,73
91,12,Undirected,26425,,113
64,7,Undirected,26426,,129
56,18,Undirected,26427,,135
159,115,Undirected,26429,,100
232,12,Undirected,26430,,121
8,10,Undirected,26431,,132
2,174,Undirected,26432,,119
2,10,Undirected,26434,,144
2,100,Undirected,26435,,133
4,86,Undirected,26436,,144
4,74,Undirected,26437,,136
508,0,Undirected,26438,,120
111,8,Undirected,26440,,128
1,90,Undirected,26441,,136
494,1,Undirected,26442,,121
254,2,Undirected,26443,,96
934,299,Undirected,26446,,72
523,0,Undirected,26449,,109
54,46,Undirected,26451,,97
6,125,Undirected,26452,,121
12,84,Undirected,26454,,137
529,0,Undirected,26455,,117
524,0,Undirected,26456,,117
915,6,Undirected,26457,,93
651,301,Undirected,26458,,103
359,1,Undirected,26459,,110
